NAME,state,county,tract,population,median_income
"Census Tract 171, Davidson County, Tennessee",47,037,017100,3118,79300
"Census Tract 172, Davidson County, Tennessee",47,037,017200,1296,61422
"Census Tract 173, Davidson County, Tennessee",47,037,017300,3371,35882
"Census Tract 174.01, Davidson County, Tennessee",47,037,017401,2116,48717
"Census Tract 174.02, Davidson County, Tennessee",47,037,017402,5261,47168
"Census Tract 175, Davidson County, Tennessee",47,037,017500,2973,43810
"Census Tract 177.01, Davidson County, Tennessee",47,037,017701,2496,153750
"Census Tract 177.02, Davidson County, Tennessee",47,037,017702,5595,115375
"Census Tract 178, Davidson County, Tennessee",47,037,017800,5929,96098
"Census Tract 179.01, Davidson County, Tennessee",47,037,017901,5312,102969
"Census Tract 179.02, Davidson County, Tennessee",47,037,017902,4997,110689
"Census Tract 180, Davidson County, Tennessee",47,037,018000,4646,103979
"Census Tract 181.01, Davidson County, Tennessee",47,037,018101,4745,44194
"Census Tract 181.02, Davidson County, Tennessee",47,037,018102,3955,97194
"Census Tract 182.01, Davidson County, Tennessee",47,037,018201,3316,119031
"Census Tract 182.03, Davidson County, Tennessee",47,037,018203,1444,180000
"Census Tract 182.04, Davidson County, Tennessee",47,037,018204,3438,45080
"Census Tract 182.05, Davidson County, Tennessee",47,037,018205,3691,77273
"Census Tract 183.02, Davidson County, Tennessee",47,037,018302,2886,97330
"Census Tract 183.03, Davidson County, Tennessee",47,037,018303,3826,60144
"Census Tract 183.04, Davidson County, Tennessee",47,037,018304,4281,110630
"Census Tract 184.04, Davidson County, Tennessee",47,037,018404,4438,77635
"Census Tract 184.05, Davidson County, Tennessee",47,037,018405,4779,91554
"Census Tract 184.07, Davidson County, Tennessee",47,037,018407,5600,107132
"Census Tract 184.08, Davidson County, Tennessee",47,037,018408,3991,112237
"Census Tract 184.09, Davidson County, Tennessee",47,037,018409,4507,82626
"Census Tract 184.10, Davidson County, Tennessee",47,037,018410,3212,55492
"Census Tract 184.11, Davidson County, Tennessee",47,037,018411,3440,56116
"Census Tract 184.12, Davidson County, Tennessee",47,037,018412,4044,73182
"Census Tract 185, Davidson County, Tennessee",47,037,018500,4274,198112
"Census Tract 186.01, Davidson County, Tennessee",47,037,018601,2369,199643
"Census Tract 186.02, Davidson County, Tennessee",47,037,018602,4245,192500
"Census Tract 187, Davidson County, Tennessee",47,037,018700,3353,186960
"Census Tract 188.01, Davidson County, Tennessee",47,037,018801,5501,96942
"Census Tract 188.03, Davidson County, Tennessee",47,037,018803,3547,74466
"Census Tract 188.04, Davidson County, Tennessee",47,037,018804,5493,115073
"Census Tract 189.01, Davidson County, Tennessee",47,037,018901,3280,47500
"Census Tract 189.02, Davidson County, Tennessee",47,037,018902,2704,75286
"Census Tract 189.04, Davidson County, Tennessee",47,037,018904,3410,61750
"Census Tract 189.05, Davidson County, Tennessee",47,037,018905,3292,65960
"Census Tract 190.03, Davidson County, Tennessee",47,037,019003,4427,44349
